DX DESCRIPTION,CUI
"Malignant neoplasm of tongue, unspecified",C0153349
Malignant neoplasm of upper gum,C0153365
Malignant neoplasm of lower gum,C0432581
"Malignant neoplasm of gum, unspecified",C0153364
Malignant neoplasm of anterior floor of mouth,C0153369
Malignant neoplasm of lateral floor of mouth,C0496758
Malignant neoplasm of overlapping sites of floor of mouth,C0349046
"Malignant neoplasm of floor of mouth, unspecified",C0153368
Malignant neoplasm of hard palate,C0153375
Malignant neoplasm of soft palate,C0153376
Malignant neoplasm of uvula,C0153377
Malignant neoplasm of overlapping sites of palate,C0496760
"Malignant neoplasm of palate, unspecified",C0153378
Malignant neoplasm of cheek mucosa,C0153373
Malignant neoplasm of vestibule of mouth,C0153374
Malignant neoplasm of retromolar area,C0153379
Malignant neoplasm of overlapping sites of unspecified parts of mouth,C2833841
Malignant neoplasm of overlapping sites of other parts of mouth,C2833843
"Malignant neoplasm of mouth, unspecified",C0153381
Malignant neoplasm of parotid gland,C0747273
Malignant neoplasm of submandibular gland,C0153360
Malignant neoplasm of sublingual gland,C0153361
"Malignant neoplasm of major salivary gland, unspecified",C0496763
Malignant neoplasm of tonsillar fossa,C0153384
Malignant neoplasm of tonsillar pillar (anterior) (posterior),C0153385
Malignant neoplasm of overlapping sites of tonsil,C1264197
"Malignant neoplasm of tonsil, unspecified",C0751560
Malignant neoplasm of vallecula,C0153386
Malignant neoplasm of anterior surface of epiglottis,C0496765
Malignant neoplasm of lateral wall of oropharynx,C0153389|C3165521
Malignant neoplasm of posterior wall of oropharynx,C0153390
Malignant neoplasm of branchial cleft,C0496766
Malignant neoplasm of overlapping sites of oropharynx,C0496767
"Malignant neoplasm of oropharynx, unspecified",C0153382
Malignant neoplasm of superior wall of nasopharynx,C0153393
Malignant neoplasm of posterior wall of nasopharynx,C0153394
Malignant neoplasm of lateral wall of nasopharynx,C0153395
Malignant neoplasm of anterior wall of nasopharynx,C0153396
Malignant neoplasm of overlapping sites of nasopharynx,C0349038
"Malignant neoplasm of nasopharynx, unspecified",C0153392
Malignant neoplasm of pyriform sinus,C0153400
Malignant neoplasm of postcricoid region,C0496769
"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",C0153401
Malignant neoplasm of posterior wall of hypopharynx,C0496770
Malignant neoplasm of overlapping sites of hypopharynx,C0349039
"Malignant neoplasm of hypopharynx, unspecified",C0153398
"Malignant neoplasm of pharynx, unspecified",C0153405
Malignant neoplasm of Waldeyer's ring,C0153406
"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",C0496772
Malignant neoplasm of upper third of esophagus,C0153413
Malignant neoplasm of middle third of esophagus,C0153414
Malignant neoplasm of lower third of esophagus,C0153415
Malignant neoplasm of overlapping sites of esophagus,C0496776
"Malignant neoplasm of esophagus, unspecified",C0546837
Malignant neoplasm of cardia,C0153417
Malignant neoplasm of fundus of stomach,C0153420|C1314736
Malignant neoplasm of body of stomach,C0153421
Malignant neoplasm of pyloric antrum,C0153419
Malignant neoplasm of pylorus,C0153418|C1306836
"Malignant neoplasm of lesser curvature of stomach, unspecified",C0153422
"Malignant neoplasm of greater curvature of stomach, unspecified",C0153423
Malignant neoplasm of overlapping sites of stomach,C0349049
"Malignant neoplasm of stomach, unspecified",C0024623
Malignant neoplasm of duodenum,C0153426
Malignant neoplasm of jejunum,C0153427
Malignant neoplasm of ileum,C0153428
"Meckel's diverticulum, malignant",C2979886
Malignant neoplasm of overlapping sites of small intestine,C0349050
"Malignant neoplasm of small intestine, unspecified",C0153425
Malignant neoplasm of cecum,C0153437
Malignant neoplasm of appendix,C0496779
Malignant neoplasm of ascending colon,C0153439
Malignant neoplasm of hepatic flexure,C0153433
Malignant neoplasm of transverse colon,C0153434
Malignant neoplasm of splenic flexure,C0153440
Malignant neoplasm of descending colon,C0153435
Malignant neoplasm of sigmoid colon,C0153436
Malignant neoplasm of overlapping sites of colon,C0349051
"Malignant neoplasm of colon, unspecified",C0007102
Malignant neoplasm of rectosigmoid junction,C0153443
Malignant neoplasm of rectum,C0007113|C0949022
"Malignant neoplasm of anus, unspecified",C0153446
Malignant neoplasm of anal canal,C0153445
Malignant neoplasm of cloacogenic zone,C0345886
"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",C0496781
Liver cell carcinoma,C2239176
Intrahepatic bile duct carcinoma,C0345905
Hepatoblastoma,C0206624
Angiosarcoma of liver,C0345907
Other sarcomas of liver,C0348339
Other specified carcinomas of liver,C0348340
"Malignant neoplasm of liver, primary, unspecified as to type",C2837938
"Malignant neoplasm of liver, not specified as primary or secondary",C0345904
Malignant neoplasm of gallbladder,C0153452
Malignant neoplasm of extrahepatic bile duct,C0153453
Malignant neoplasm of ampulla of Vater,C0153454
Malignant neoplasm of overlapping sites of biliary tract,C0349052
"Malignant neoplasm of biliary tract, unspecified",C0750952
Malignant neoplasm of head of pancreas,C0153458
Malignant neoplasm of body of pancreas,C0153459
Malignant neoplasm of tail of pancreas,C0153460
Malignant neoplasm of pancreatic duct,C0153461
Malignant neoplasm of endocrine pancreas,C0496784
Malignant neoplasm of other parts of pancreas,C0496785
Malignant neoplasm of overlapping sites of pancreas,C0349053
"Malignant neoplasm of pancreas, unspecified",C0346647
"Malignant neoplasm of intestinal tract, part unspecified",C0346627
Malignant neoplasm of spleen,C0153470
Malignant neoplasm of ill-defined sites within the digestive system,C0348342
Malignant neoplasm of nasal cavity,C0728864
Malignant neoplasm of middle ear,C0496788
Malignant neoplasm of maxillary sinus,C0153476
Malignant neoplasm of ethmoidal sinus,C0153477
Malignant neoplasm of frontal sinus,C0153478|C1304861
Malignant neoplasm of sphenoid sinus,C0153479
Malignant neoplasm of overlapping sites of accessory sinuses,C0349041
"Malignant neoplasm of accessory sinus, unspecified",C0153474
Malignant neoplasm of glottis,C0153483|C1306448
Malignant neoplasm of supraglottis,C0153484|C1306449
Malignant neoplasm of subglottis,C0153485
Malignant neoplasm of laryngeal cartilage,C0153486
Malignant neoplasm of overlapping sites of larynx,C0349040
"Malignant neoplasm of larynx, unspecified",C0007107
Malignant neoplasm of trachea,C0153489
Malignant neoplasm of unspecified main bronchus,C2837947
Malignant neoplasm of right main bronchus,C2837948
Malignant neoplasm of left main bronchus,C2837949
"Malignant neoplasm of upper lobe, unspecified bronchus or lung",C2837950
"Malignant neoplasm of upper lobe, right bronchus or lung",C2837951
"Malignant neoplasm of upper lobe, left bronchus or lung",C2837952
"Malignant neoplasm of middle lobe, bronchus or lung",C0153491
"Malignant neoplasm of lower lobe, unspecified bronchus or lung",C2837954
"Malignant neoplasm of lower lobe, right bronchus or lung",C2837955
"Malignant neoplasm of lower lobe, left bronchus or lung",C2837956
Malignant neoplasm of overlapping sites of unspecified bronchus and lung,C2837957
Malignant neoplasm of overlapping sites of right bronchus and lung,C2837958
Malignant neoplasm of overlapping sites of left bronchus and lung,C2837959
Malignant neoplasm of unspecified part of unspecified bronchus or lung,C2837960
Malignant neoplasm of unspecified part of right bronchus or lung,C2837961
Malignant neoplasm of unspecified part of left bronchus or lung,C2837962
Malignant neoplasm of thymus,C0751552
Malignant neoplasm of heart,C0153500
Malignant neoplasm of anterior mediastinum,C0153501|C1306683
Malignant neoplasm of posterior mediastinum,C0153502|C1314884
"Malignant neoplasm of mediastinum, part unspecified",C0153504
Malignant neoplasm of pleura,C0153494
"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",C0349042
"Malignant neoplasm of upper respiratory tract, part unspecified",C0153506
"Malignant neoplasm of lower respiratory tract, part unspecified",C2837964
Malignant neoplasm of scapula and long bones of unspecified upper limb,C2837967
Malignant neoplasm of scapula and long bones of right upper limb,C2837968
Malignant neoplasm of scapula and long bones of left upper limb,C2837969
Malignant neoplasm of short bones of unspecified upper limb,C2837970
Malignant neoplasm of short bones of right upper limb,C2837971
Malignant neoplasm of short bones of left upper limb,C2837972
Malignant neoplasm of long bones of unspecified lower limb,C2837973
Malignant neoplasm of long bones of right lower limb,C2837974
Malignant neoplasm of long bones of left lower limb,C2837975
Malignant neoplasm of short bones of unspecified lower limb,C2837976
Malignant neoplasm of short bones of right lower limb,C2837977
Malignant neoplasm of short bones of left lower limb,C2837978
Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,C2837979
Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,C2837980
Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,C2837981
Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,C2837982
Malignant neoplasm of unspecified bones and articular cartilage of right limb,C2837983
Malignant neoplasm of unspecified bones and articular cartilage of left limb,C2837984
Malignant neoplasm of bones of skull and face,C0346653
Malignant neoplasm of mandible,C0153511|C1306606
Malignant neoplasm of vertebral column,C0346667
"Malignant neoplasm of ribs, sternum and clavicle",C0153513
"Malignant neoplasm of pelvic bones, sacrum and coccyx",C0153516
"Malignant neoplasm of bone and articular cartilage, unspecified",C0153509
Malignant melanoma of lip,C0153529
"Malignant melanoma of unspecified eyelid, including canthus",C2837985
"Malignant melanoma of right upper eyelid, including canthus",C4702890
"Malignant melanoma of right lower eyelid, including canthus",C4702891
"Malignant melanoma of left upper eyelid, including canthus",C4702892
"Malignant melanoma of left lower eyelid, including canthus",C4702893
Malignant melanoma of unspecified ear and external auricular canal,C2837988
Malignant melanoma of right ear and external auricular canal,C2837989
Malignant melanoma of left ear and external auricular canal,C2837990
Malignant melanoma of unspecified part of face,C2837991
Malignant melanoma of nose,C2837992
Malignant melanoma of other parts of face,C2837993
Malignant melanoma of scalp and neck,C0346782
Malignant melanoma of anal skin,C2837995
Malignant melanoma of skin of breast,C0684503
Malignant melanoma of other part of trunk,C2837996
"Malignant melanoma of unspecified upper limb, including shoulder",C2837997
"Malignant melanoma of right upper limb, including shoulder",C2837998
"Malignant melanoma of left upper limb, including shoulder",C2837999
"Malignant melanoma of unspecified lower limb, including hip",C2838000
"Malignant melanoma of right lower limb, including hip",C2838001
"Malignant melanoma of left lower limb, including hip",C2838002
Malignant melanoma of overlapping sites of skin,C0349354
"Malignant melanoma of skin, unspecified",C0151779
Mesothelioma of pleura,C0812413|C1377913
Mesothelioma of peritoneum,C0346109|C1377610
Mesothelioma of pericardium,C0346110
Mesothelioma of other sites,C0348353
"Mesothelioma, unspecified",C0025500
Kaposi's sarcoma of skin,C0153560
Kaposi's sarcoma of soft tissue,C0153561
Kaposi's sarcoma of palate,C0153562
Kaposi's sarcoma of lymph nodes,C0153565
Kaposi's sarcoma of gastrointestinal sites,C0153563
Kaposi's sarcoma of unspecified lung,C2842025
Kaposi's sarcoma of right lung,C2842026
Kaposi's sarcoma of left lung,C2842027
Kaposi's sarcoma of other sites,C0348364
"Kaposi's sarcoma, unspecified",C0036220
"Malignant neoplasm of peripheral nerves of head, face and neck",C0349019
"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",C2842029
"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",C2842030
"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",C2842031
"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",C2842032
"Malignant neoplasm of peripheral nerves of right lower limb, including hip",C2842033
"Malignant neoplasm of peripheral nerves of left lower limb, including hip",C2842034
Malignant neoplasm of peripheral nerves of thorax,C0349022
Malignant neoplasm of peripheral nerves of abdomen,C0349023
Malignant neoplasm of peripheral nerves of pelvis,C0349024
"Malignant neoplasm of peripheral nerves of trunk, unspecified",C0348357
Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,C0348358
"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",C0348359
Malignant neoplasm of retroperitoneum,C0153465
Malignant neoplasm of specified parts of peritoneum,C0153466
"Malignant neoplasm of peritoneum, unspecified",C0153467
Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,C0582499
"Malignant neoplasm of connective and soft tissue of head, face and neck",C0347957
"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",C2842043
"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",C2842044
"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",C2842045
"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",C2842046
"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",C2842047
"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",C2842048
Malignant neoplasm of connective and soft tissue of thorax,C0346141
Malignant neoplasm of connective and soft tissue of abdomen,C0346848
Malignant neoplasm of connective and soft tissue of pelvis,C0543394
"Malignant neoplasm of connective and soft tissue of trunk, unspecified",C0348361
Malignant neoplasm of overlapping sites of connective and soft tissue,C0349035
"Malignant neoplasm of connective and soft tissue, unspecified",C0348362
"Gastrointestinal stromal tumor, unspecified site",C4267834
Gastrointestinal stromal tumor of esophagus,C2959942
Gastrointestinal stromal tumor of stomach,C1333768
Gastrointestinal stromal tumor of small intestine,C1335996
Gastrointestinal stromal tumor of large intestine,C2960068
Gastrointestinal stromal tumor of rectum,C4267835
Gastrointestinal stromal tumor of other sites,C4267836
Merkel cell carcinoma of lip,C2712673
"Merkel cell carcinoma of unspecified eyelid, including canthus",C2977923
"Merkel cell carcinoma of right upper eyelid, including canthus",C4702874
"Merkel cell carcinoma of right lower eyelid, including canthus",C4702875
"Merkel cell carcinoma of left upper eyelid, including canthus",C4702876
"Merkel cell carcinoma of left lower eyelid, including canthus",C4702877
Merkel cell carcinoma of unspecified ear and external auricular canal,C2977924
Merkel cell carcinoma of right ear and external auricular canal,C2842055
Merkel cell carcinoma of left ear and external auricular canal,C2842056
Merkel cell carcinoma of unspecified part of face,C2842058
Merkel cell carcinoma of nose,C2842059
Merkel cell carcinoma of other parts of face,C2842060
Merkel cell carcinoma of scalp and neck,C2712692
Merkel cell carcinoma of anal skin,C2842063
Merkel cell carcinoma of skin of breast,C2842064
Merkel cell carcinoma of other part of trunk,C2842065
"Merkel cell carcinoma of unspecified upper limb, including shoulder",C2977925
"Merkel cell carcinoma of right upper limb, including shoulder",C2842068
"Merkel cell carcinoma of left upper limb, including shoulder",C2842069
"Merkel cell carcinoma of unspecified lower limb, including hip",C2977926
"Merkel cell carcinoma of right lower limb, including hip",C2842072
"Merkel cell carcinoma of left lower limb, including hip",C2842073
Merkel cell carcinoma of overlapping sites,C2842074
"Merkel cell carcinoma, unspecified",C2842075
"Malignant neoplasm of nipple and areola, right female breast",C2842077
"Malignant neoplasm of nipple and areola, left female breast",C2842078
"Malignant neoplasm of nipple and areola, unspecified female breast",C2842079
"Malignant neoplasm of nipple and areola, right male breast",C2842081
"Malignant neoplasm of nipple and areola, left male breast",C2842082
"Malignant neoplasm of nipple and areola, unspecified male breast",C2842083
Malignant neoplasm of central portion of right female breast,C2842084
Malignant neoplasm of central portion of left female breast,C2842085
Malignant neoplasm of central portion of unspecified female breast,C2842086
Malignant neoplasm of central portion of right male breast,C2842088
Malignant neoplasm of central portion of left male breast,C2842089
Malignant neoplasm of central portion of unspecified male breast,C2842090
Malignant neoplasm of upper-inner quadrant of right female breast,C2842091
Malignant neoplasm of upper-inner quadrant of left female breast,C2842092
Malignant neoplasm of upper-inner quadrant of unspecified female breast,C2842093
Malignant neoplasm of upper-inner quadrant of right male breast,C2842095
Malignant neoplasm of upper-inner quadrant of left male breast,C2842096
Malignant neoplasm of upper-inner quadrant of unspecified male breast,C2842097
Malignant neoplasm of lower-inner quadrant of right female breast,C2842098
Malignant neoplasm of lower-inner quadrant of left female breast,C2842099
Malignant neoplasm of lower-inner quadrant of unspecified female breast,C2842100
Malignant neoplasm of lower-inner quadrant of right male breast,C2842102
Malignant neoplasm of lower-inner quadrant of left male breast,C2842103
Malignant neoplasm of lower-inner quadrant of unspecified male breast,C2842104
Malignant neoplasm of upper-outer quadrant of right female breast,C2842105
Malignant neoplasm of upper-outer quadrant of left female breast,C2842106
Malignant neoplasm of upper-outer quadrant of unspecified female breast,C2842107
Malignant neoplasm of upper-outer quadrant of right male breast,C2842109
Malignant neoplasm of upper-outer quadrant of left male breast,C2842110
Malignant neoplasm of upper-outer quadrant of unspecified male breast,C2842111
Malignant neoplasm of lower-outer quadrant of right female breast,C2842112
Malignant neoplasm of lower-outer quadrant of left female breast,C2842113
Malignant neoplasm of lower-outer quadrant of unspecified female breast,C2842114
Malignant neoplasm of lower-outer quadrant of right male breast,C2842116
Malignant neoplasm of lower-outer quadrant of left male breast,C2842117
Malignant neoplasm of lower-outer quadrant of unspecified male breast,C2842118
Malignant neoplasm of axillary tail of right female breast,C2842119
Malignant neoplasm of axillary tail of left female breast,C2842120
Malignant neoplasm of axillary tail of unspecified female breast,C2842121
Malignant neoplasm of axillary tail of right male breast,C2842123
Malignant neoplasm of axillary tail of left male breast,C2842124
Malignant neoplasm of axillary tail of unspecified male breast,C2842125
Malignant neoplasm of overlapping sites of right female breast,C2842127
Malignant neoplasm of overlapping sites of left female breast,C2842128
Malignant neoplasm of overlapping sites of unspecified female breast,C2842129
Malignant neoplasm of overlapping sites of right male breast,C2842131
Malignant neoplasm of overlapping sites of left male breast,C2842132
Malignant neoplasm of overlapping sites of unspecified male breast,C2842133
Malignant neoplasm of unspecified site of right female breast,C2842136
Malignant neoplasm of unspecified site of left female breast,C2842137
Malignant neoplasm of unspecified site of unspecified female breast,C2842138
Malignant neoplasm of unspecified site of right male breast,C2842140
Malignant neoplasm of unspecified site of left male breast,C2842141
Malignant neoplasm of unspecified site of unspecified male breast,C2842142
Malignant neoplasm of labium majus,C0496814
Malignant neoplasm of labium minus,C0496815
Malignant neoplasm of clitoris,C0153589
Malignant neoplasm of overlapping sites of vulva,C1263790
"Malignant neoplasm of vulva, unspecified",C0375071
Malignant neoplasm of vagina,C0042237
Malignant neoplasm of endocervix,C0153569
Malignant neoplasm of exocervix,C0153570
Malignant neoplasm of overlapping sites of cervix uteri,C0348908
"Malignant neoplasm of cervix uteri, unspecified",C0007847
Malignant neoplasm of isthmus uteri,C0496818
Malignant neoplasm of endometrium,C0007103
Malignant neoplasm of myometrium,C0496820
Malignant neoplasm of fundus uteri,C0496821
Malignant neoplasm of overlapping sites of corpus uteri,C0348907
"Malignant neoplasm of corpus uteri, unspecified",C0153574
"Malignant neoplasm of uterus, part unspecified",C0153567
Malignant neoplasm of right ovary,C2842146
Malignant neoplasm of left ovary,C2977928
Malignant neoplasm of bilateral ovaries,C5539132
Malignant neoplasm of unspecified ovary,C2842147
Malignant neoplasm of unspecified fallopian tube,C2842148
Malignant neoplasm of right fallopian tube,C2842149
Malignant neoplasm of left fallopian tube,C2842150
Malignant neoplasm of unspecified broad ligament,C2842151
Malignant neoplasm of right broad ligament,C2842152
Malignant neoplasm of left broad ligament,C2842153
Malignant neoplasm of unspecified round ligament,C2842154
Malignant neoplasm of right round ligament,C2842155
Malignant neoplasm of left round ligament,C2842156
Malignant neoplasm of parametrium,C0153581
"Malignant neoplasm of uterine adnexa, unspecified",C0153584
Malignant neoplasm of other specified female genital organs,C0348366
Malignant neoplasm of overlapping sites of female genital organs,C0348367
"Malignant neoplasm of female genital organ, unspecified",C0153592
Malignant neoplasm of placenta,C0153572|C2703078
Malignant neoplasm of prepuce,C0153598
Malignant neoplasm of glans penis,C0153599
Malignant neoplasm of body of penis,C0153600
Malignant neoplasm of overlapping sites of penis,C0349056
"Malignant neoplasm of penis, unspecified",C0153601
Malignant neoplasm of prostate,C0376358
Malignant neoplasm of unspecified undescended testis,C2845872
Malignant neoplasm of undescended right testis,C2845873
Malignant neoplasm of undescended left testis,C2845874
Malignant neoplasm of unspecified descended testis,C2845875
Malignant neoplasm of descended right testis,C2845876
Malignant neoplasm of descended left testis,C2845877
"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",C2845878
"Malignant neoplasm of right testis, unspecified whether descended or undescended",C2845879
"Malignant neoplasm of left testis, unspecified whether descended or undescended",C2845880
Malignant neoplasm of unspecified epididymis,C2845881
Malignant neoplasm of right epididymis,C2845882
Malignant neoplasm of left epididymis,C2845883
Malignant neoplasm of unspecified spermatic cord,C2845884
Malignant neoplasm of right spermatic cord,C2845885
Malignant neoplasm of left spermatic cord,C2845886
Malignant neoplasm of scrotum,C0153604
Malignant neoplasm of other specified male genital organs,C0348368
Malignant neoplasm of overlapping sites of male genital organs,C0348369
"Malignant neoplasm of male genital organ, unspecified",C0153606
"Malignant neoplasm of right kidney, except renal pelvis",C2845890
"Malignant neoplasm of left kidney, except renal pelvis",C2977941
"Malignant neoplasm of unspecified kidney, except renal pelvis",C2845891
Malignant neoplasm of right renal pelvis,C2845893
Malignant neoplasm of left renal pelvis,C2977942
Malignant neoplasm of unspecified renal pelvis,C2845894
Malignant neoplasm of right ureter,C2845896
Malignant neoplasm of left ureter,C2977943
Malignant neoplasm of unspecified ureter,C2845897
Malignant neoplasm of trigone of bladder,C0496826
Malignant neoplasm of dome of bladder,C0496827
Malignant neoplasm of lateral wall of bladder,C0496828
Malignant neoplasm of anterior wall of bladder,C0153611
Malignant neoplasm of posterior wall of bladder,C0153612
Malignant neoplasm of bladder neck,C0153613
Malignant neoplasm of ureteric orifice,C0153614
Malignant neoplasm of urachus,C0153615
Malignant neoplasm of overlapping sites of bladder,C0349054
"Malignant neoplasm of bladder, unspecified",C0005684
Malignant neoplasm of urethra,C0153620
Malignant neoplasm of paraurethral glands,C0153621
Malignant neoplasm of overlapping sites of urinary organs,C0349055
"Malignant neoplasm of urinary organ, unspecified",C0348371
Malignant neoplasm of unspecified conjunctiva,C2845899
Malignant neoplasm of right conjunctiva,C2845900
Malignant neoplasm of left conjunctiva,C2845901
Malignant neoplasm of unspecified cornea,C2845902
Malignant neoplasm of right cornea,C2845903
Malignant neoplasm of left cornea,C2845904
Malignant neoplasm of unspecified retina,C2845905
Malignant neoplasm of right retina,C2845906
Malignant neoplasm of left retina,C2845907
Malignant neoplasm of unspecified choroid,C2845908
Malignant neoplasm of right choroid,C2845909
Malignant neoplasm of left choroid,C2845910
Malignant neoplasm of unspecified ciliary body,C2845911
Malignant neoplasm of right ciliary body,C2845912
Malignant neoplasm of left ciliary body,C2845913
Malignant neoplasm of unspecified lacrimal gland and duct,C2845914
Malignant neoplasm of right lacrimal gland and duct,C2845915
